date,symbol,score
2024-01-26,shw,0.057667
2024-01-26,trv,0.057667
2024-01-26,unh,0.057667
2024-01-26,v,0.057214
2024-01-26,vz,0.057667
2024-01-26,wmt,0.057667
2024-01-29,aapl,0.057667
2024-01-29,amgn,0.057667
2024-01-29,amzn,0.057667
2024-01-29,axp,0.055653
2024-01-29,ba,0.060284
2024-01-29,cat,0.057667
2024-01-29,crm,0.057667
2024-01-29,csco,0.057667
2024-01-29,cvx,0.057667
2024-01-29,dis,0.057667
2024-01-29,gs,0.057667
2024-01-29,hd,0.057667
2024-01-29,hon,0.057667
2024-01-29,ibm,0.055653
2024-01-29,jnj,0.057667
2024-01-29,jpm,0.057667
2024-01-29,ko,0.057667
2024-01-29,mcd,0.057667
2024-01-29,mmm,0.057667
2024-01-29,mrk,0.057667
2024-01-29,msft,0.057667
2024-01-29,nke,0.057667
2024-01-29,nvda,0.057667
2024-01-29,pg,0.055653
2024-01-29,shw,0.057667
2024-01-29,trv,0.057667
2024-01-29,unh,0.057667
2024-01-29,v,0.055653
2024-01-29,vz,0.060284
2024-01-29,wmt,0.057667
2024-01-30,aapl,0.057789
2024-01-30,amgn,0.057667
2024-01-30,amzn,0.060284
2024-01-30,axp,0.057667
2024-01-30,ba,0.057789
2024-01-30,cat,0.057667
2024-01-30,crm,0.057667
2024-01-30,csco,0.057667
2024-01-30,cvx,0.057667
2024-01-30,dis,0.055653
2024-01-30,gs,0.055653
2024-01-30,hd,0.057667
2024-01-30,hon,0.055653
2024-01-30,ibm,0.057667
2024-01-30,jnj,0.057667
2024-01-30,jpm,0.055653
2024-01-30,ko,0.057667
2024-01-30,mcd,0.057667
2024-01-30,mmm,0.060284
2024-01-30,mrk,0.057667
2024-01-30,msft,0.057667
2024-01-30,nke,0.057667
2024-01-30,nvda,0.055653
2024-01-30,pg,0.057667
2024-01-30,shw,0.057667
2024-01-30,trv,0.057667
2024-01-30,unh,0.057667
2024-01-30,v,0.055653
2024-01-30,vz,0.057667
2024-01-30,wmt,0.057667
2024-01-31,aapl,0.057789
2024-01-31,amgn,0.057667
2024-01-31,amzn,0.057214
2024-01-31,axp,0.057667
2024-01-31,ba,0.057667
2024-01-31,cat,0.060284
2024-01-31,crm,0.060284
2024-01-31,csco,0.057789
2024-01-31,cvx,0.057667
2024-01-31,dis,0.060284
2024-01-31,gs,0.060284
2024-01-31,hd,0.060284
2024-01-31,hon,0.057214
2024-01-31,ibm,0.057667
2024-01-31,jnj,0.057789
2024-01-31,jpm,0.060284
2024-01-31,ko,0.060284
2024-01-31,mcd,0.060284
2024-01-31,mmm,0.057667
2024-01-31,mrk,0.060284
2024-01-31,msft,0.057214
2024-01-31,nke,0.057667
2024-01-31,nvda,0.060284
2024-01-31,pg,0.057667
2024-01-31,shw,0.060284
2024-01-31,trv,0.057214
2024-01-31,unh,0.055653
2024-01-31,v,0.060284
2024-01-31,vz,0.057667
2024-01-31,wmt,0.057667
2024-02-01,aapl,0.057667
2024-02-01,amgn,0.057667
2024-02-01,amzn,0.057667
2024-02-01,axp,0.057667
2024-02-01,ba,0.057667
2024-02-01,cat,0.057667
2024-02-01,crm,0.057667
2024-02-01,csco,0.057789
2024-02-01,cvx,0.057214
2024-02-01,dis,0.060284
2024-02-01,gs,0.060284
2024-02-01,hd,0.057667
2024-02-01,hon,0.057667
2024-02-01,ibm,0.057667
2024-02-01,jnj,0.057789
2024-02-01,jpm,0.060284
2024-02-01,ko,0.057667
2024-02-01,mcd,0.057667
2024-02-01,mmm,0.057667
2024-02-01,mrk,0.057667
2024-02-01,msft,0.060284
2024-02-01,nke,0.057214
2024-02-01,nvda,0.055653
2024-02-01,pg,0.057667
2024-02-01,shw,0.057667
2024-02-01,trv,0.057667
2024-02-01,unh,0.060284
2024-02-01,v,0.057667
2024-02-01,vz,0.060284
2024-02-01,wmt,0.057667
